"Date","MinTemp","MaxTemp","Rainfall","Sunshine","WindGustDir","WindGustSpeed","WindSpeed","Humidity","Pressure","Cloud","Temp"
"2015-09-21",7.5,23.3,0,10.9,"SW",65,41,15,1010.9,0,21.3
"2015-09-07",6.3,16.1,0,2.9,"SW",35,24,33,1016.2,7,15.7
"2014-11-08",8.3,17,0,4.6,"ES",41,24,57,1024.2,7,15.5
"2015-09-24",7.8,16.2,17.4,7.9,"NW",50,22,44,1017.8,1,14.3
"2015-08-08",-0.6,11.1,0,5,"NW",41,26,78,1015.9,7,5.7
"2015-02-23",12.7,25.1,0,12.4,"NW",46,26,32,1005.4,1,24.5
"2015-04-05",0.4,18.9,0,9.6,"NW",22,7,33,1019.1,1,17.6
"2015-03-09",9.5,27.4,3,11.5,"NW",24,9,39,1020.7,7,24.9
"2015-09-14",9,25.5,0,10.2,"NW",50,26,31,1011.4,1,25.1
"2015-02-05",16.8,22.8,9,0.3,"ES",30,11,71,1007.8,8,21.5
"2015-02-22",12.7,28.6,6.6,8.6,"SW",50,28,42,1002.3,5,27.4
"2015-04-01",9.6,18.8,0,10,"SW",57,26,42,1013,5,16.5
"2014-11-03",13.7,23.4,3.6,3.3,"NW",85,6,69,1007.2,7,20.2
"2014-12-09",15,29.4,0,11.1,"NW",43,24,24,1008.5,7,28.6
"2015-03-16",13.8,35.2,0,11.2,"SW",48,4,15,1019.3,2,34.1
"2015-01-07",16.5,33.9,0,12.6,"ES",39,11,36,1009.5,1,31.3
"2015-03-15",12.3,33.8,0,11.3,"SW",22,13,15,1019.1,1,32.7
"2014-11-29",15.1,24.3,0,0.4,"SW",39,17,80,1017.1,7,19.7
"2014-12-17",10.8,21.7,1.4,10.6,"ES",48,20,40,1016.8,4,20.8
"2015-07-15",2.7,16.5,0,8.9,"NW",41,22,51,1019,1,15.9
"2015-08-22",2.4,14.1,0,1.8,"NW",46,30,27,1017.8,8,13.2
"2015-01-30",18,34.9,0,9.9,"NW",69,13,29,1013.7,6,33.1
"2014-12-12",11.7,21.5,0,7.3,"ES",41,24,51,1019.6,5,19.4
"2014-11-14",12.1,30.9,0,12.4,"NW",44,20,20,1013.1,4,30.7
"2015-07-17",-0.9,12.8,0.2,1.9,"NW",17,9,62,1020.8,7,12.1
"2015-06-06",7.8,15.1,0,2.7,"SW",31,20,65,1023.4,7,14.8
"2015-05-14",1.3,19,0,9.4,"NW",30,15,34,1021.4,2,18.6
"2015-03-02",4.4,21.8,0,12.1,"SW",35,15,31,1019.3,1,20
"2015-07-29",-1.6,10.7,1.4,9.1,"SW",59,37,56,1014.9,4,9.6
"2015-03-06",12,27.6,0,11,"ES",46,6,35,1022.2,1,26.2
"2014-11-26",15.6,26.9,0,8.9,"ES",41,22,48,1016.5,4,25.1
"2015-02-11",8.9,26,0,10.7,"NW",31,13,34,1011.7,5,24.2
"2015-04-11",7.2,22.9,0,9.5,"ES",26,6,28,1019.2,1,22.2
"2015-09-19",1.1,18,0,8.6,"NW",39,28,36,1015.6,1,17.8
"2015-04-03",5.3,23.3,0,5.6,"NW",83,37,26,1010.5,8,22.5
"2015-10-21",11.3,27.4,0.2,12.1,"NW",52,31,20,1017.5,1,26.3
"2014-11-09",8.8,19.5,0,4.1,"SW",48,17,48,1022.7,7,18.9
"2015-07-26",-2.1,12.9,0,8.1,"SW",31,13,25,1020.9,1,12.3
"2015-08-09",3.1,12.5,1.2,7.2,"NW",43,30,62,1019.1,2,11.3
"2015-07-19",1.3,10.6,0,5.6,"NW",46,33,73,1009.4,5,8.2
"2015-10-28",9,30.7,0,12.1,"NW",76,50,15,1010.8,3,30
"2015-07-27",-2,11.3,0.2,5.9,"SW",33,19,50,1015.3,7,10.9
"2015-09-22",4.7,19.5,0,11,"NW",46,33,25,1015.1,0,18.3
"2015-06-08",-0.2,15.5,0,9,"NW",28,11,42,1027,1,14.5
"2015-06-09",4.3,14.5,0,3,"ES",30,13,70,1031.7,7,13
"2015-03-05",10.1,28.2,0,7.3,"ES",39,7,28,1018.2,7,27
"2015-03-28",4.4,18.3,0,9.6,"NW",33,17,36,1012.6,2,17.4
"2015-04-22",2.4,20.6,0,10.1,"ES",30,7,34,1021,2,19.8
"2015-01-31",17.6,27.8,5.2,3.6,"ES",39,13,49,1012.8,8,26.3
"2015-03-26",13.1,17.4,6.4,0,"NW",43,20,93,1006.5,8,16.6
"2014-12-08",16.5,28.2,4,8.8,"NW",39,13,42,1011.4,1,26.3
"2015-01-24",10.3,27.8,0,9.9,"ES",35,11,29,1018.1,6,26.3
"2015-10-17",4.4,21,0,12.2,"NW",28,9,30,1022.3,1,19.2
"2014-12-24",12.4,24.4,0,12.1,"NW",44,13,43,1009.7,4,22.5
"2015-06-30",1.2,16,0,6.1,"NW",31,22,38,1020.9,6,14.6
"2015-04-23",5.6,18.9,0,8,"SW",33,22,49,1023.5,6,17.7
"2014-12-02",11.6,26.3,4.2,12,"NW",41,9,46,1009.5,2,25.2
"2015-07-21",-1.1,11,0.2,0,"SW",41,6,87,1009,8,8.7
"2015-11-01",12.3,30.2,0,12.6,"NW",78,35,13,1009.2,1,28.6
"2014-12-28",15.1,28.3,14.4,13.2,"NW",28,13,44,1013.4,5,27.4
"2015-06-13",7.3,16.4,0.2,8.5,"NW",43,24,48,1019.7,1,14.7
"2015-06-03",4.6,15.7,0,0.6,"NW",15,6,67,1027.1,7,15.5
"2015-07-06",-0.1,14.2,0,7,"SW",13,2,55,1028.9,2,12.6
"2014-11-13",10.1,27.9,0,13,"SW",30,7,29,1017.1,1,27.1
"2015-08-11",-3.5,7.6,0.4,4.7,"NW",50,24,68,1012.6,6,5.1
"2015-04-13",6.1,24.1,0,6.1,"SW",35,11,32,1015.8,3,23.7
"2015-08-20",-5.3,13.1,0,7.9,"NW",33,20,47,1025.6,6,12.2
"2015-01-03",15.9,23.4,0,2.2,"ES",50,24,55,1016.3,7,22.3
"2015-03-25",15.5,22.4,0.6,1.9,"NW",28,19,68,1015.4,7,21.1
"2015-10-22",9,20.6,0,6.2,"ES",39,11,28,1018.6,5,18.5
"2015-08-17",3.7,14.2,0,10,"NW",46,28,27,1011.8,1,13.5
"2014-11-15",10.1,31.2,0,13.1,"NW",41,20,16,1013.7,1,30.4
"2014-11-20",15.6,33.4,0,10.4,"NW",33,13,27,1013.7,1,32
"2014-11-21",15.3,33.4,0,9.5,"SW",59,31,26,1006.5,5,32.8
"2014-11-10",8.4,22.8,16.2,7.7,"ES",31,6,32,1020.7,1,21.7
"2015-09-28",6.5,25.7,0,10.5,"NW",50,24,25,1016.4,1,24.7
"2015-05-19",4.3,14.1,0.8,8.8,"NW",41,26,53,1008.3,6,13.3
"2015-01-22",10,22.5,0,11.6,"ES",33,7,46,1016.8,2,22.2
"2015-09-02",4.1,14.8,7.4,10.8,"NW",46,28,34,1021.7,1,14.3
"2015-02-20",12,28.9,0,8.2,"ES",39,9,31,1009.1,7,28.6
"2015-10-23",3.4,15,0.8,11.7,"SW",70,37,24,1023.1,5,14.3
"2015-05-06",0.4,19,0,8.3,"NW",39,19,41,1015.8,5,18.5
"2014-12-27",14.3,26.7,0,7.1,"NW",65,48,64,1014.3,7,19
"2015-01-10",14.7,34.2,0,12.8,"NW",33,11,25,1013.3,1,32.2
"2015-08-06",-1.9,10.9,0,4.2,"SW",50,26,72,1019.2,8,7.2
"2015-04-30",-2.1,13.8,0.2,9.5,"NW",22,9,40,1019.6,1,13.2
"2015-04-26",5,20.9,0,8.9,"SW",22,7,42,1014.3,6,20.6
"2015-06-01",-0.9,18.5,0,8.9,"ES",22,7,38,1027.4,3,18.2
"2015-03-29",4.4,18.2,0,11,"SW",31,19,35,1015,3,17.2
"2014-12-19",12.8,21,0,0.8,"NW",22,6,54,1015.6,8,20
"2015-08-03",4.4,11.5,6.6,9.3,"SW",57,31,56,1014.9,1,10.5
"2015-04-25",2.5,21.2,0,7.9,"NW",28,9,55,1019.8,4,17.6
"2015-09-23",3.2,21.9,0,5.2,"NW",80,20,50,1006.5,8,21
"2015-03-10",12.1,27.8,0,11.5,"ES",41,11,33,1023.1,1,27
"2015-09-29",14.4,24.3,0,11.1,"SW",52,30,25,1009.9,1,23
"2015-01-08",16.5,30.3,0,8.1,"ES",46,9,44,1013.4,1,28
"2015-01-25",15.4,25.7,0,8.2,"ES",41,17,32,1016.9,7,24.6
"2015-05-27",4.7,18.5,3.8,5.1,"ES",22,6,50,1023.1,4,17.9
"2015-05-21",0.3,17,0,5.6,"SW",31,24,52,1018.6,1,16.2
"2014-12-31",13.8,33.5,0,13.6,"NW",31,9,20,1015.6,1,32.2
"2014-11-30",13.6,24.1,0.4,0.5,"NW",30,6,49,1013.3,7,23.2
"2015-09-01",6.1,17.2,4,2.4,"NW",59,15,85,1010.4,7,12.6
"2015-03-12",13.9,34.7,0,8.5,"SW",46,7,18,1019.3,3,32.7
"2014-11-27",13.3,22.2,0.2,2.3,"ES",39,17,55,1018.6,7,21.2
"2015-05-30",2.2,17.5,0.2,8.5,"NW",20,7,45,1029.6,1,17.3
"2015-01-18",15.1,20.4,0,0.1,"ES",39,19,55,1015.8,8,19.4
"2015-04-12",7.1,23.4,0,10.2,"ES",39,7,29,1016.9,1,22.4
"2015-07-13",-2.6,11.1,0.2,6.5,"NW",20,7,54,1022.7,7,9.9
"2015-08-04",2.3,12.8,0,9.6,"SW",35,24,48,1018.1,1,11.6
"2014-12-13",9.6,20.3,0,3.6,"SW",39,20,49,1019.3,7,19.2
"2015-04-18",5.3,21,0,6.3,"SW",26,7,44,1023.3,2,20.4
"2015-06-29",-1.5,14.8,0,8,"NW",15,9,41,1026,3,14.5
"2015-03-19",12.5,29.9,0,10.7,"NW",43,19,30,1018.8,1,29.2
"2015-07-10",-1.3,8.8,0,2.8,"SW",39,15,68,1016.8,6,8
"2015-06-20",4,15.9,0,2,"NW",17,7,63,1019.7,7,14.8
"2015-08-21",0,14,0,4.7,"SW",39,24,36,1024.4,7,12.4
"2015-08-31",0.5,16.3,0,4.1,"NW",39,6,45,1017.5,8,15.4
"2015-10-26",3.3,25.5,0,10.8,"NW",43,19,16,1014.6,3,24.8
"2015-04-27",3.8,21.7,0.2,6.5,"NW",44,20,34,1006.7,7,20.2
"2015-07-08",3,11.1,0.8,0.2,"SW",35,13,96,1021.1,8,8.6
"2015-09-11",-2.7,15.2,0,9.7,"NW",30,20,35,1017.9,2,14.9
"2015-01-05",12.1,27.5,0,11.7,"NW",35,15,40,1007.4,2,26.8
"2015-05-05",-0.9,16.7,0,9.3,"NW",30,15,42,1018.5,2,15.4
"2015-05-04",0.5,17.1,0,9.4,"NW",31,13,42,1017.4,1,16.2
"2015-05-11",1.5,20.9,0,9.3,"NW",20,9,41,1020,1,20.9
"2015-05-15",2.2,18.6,0,9.2,"NW",31,20,44,1021,3,17.8
"2015-07-11",1.8,8.7,0,1.2,"NW",65,35,85,1010.5,7,6.9
"2015-10-11",4.6,22,0,11,"NW",41,19,25,1024.9,2,21.4
"2015-04-09",6.9,18.9,0,4.1,"ES",39,9,45,1025.4,4,17.8
"2014-11-02",14,26.9,3.6,9.7,"ES",39,17,36,1008.4,3,25.7
"2015-10-20",8.3,28.5,0,9.8,"NW",46,26,30,1019.8,6,27.4
"2015-02-27",11.7,27.6,0,8.1,"SW",48,30,25,1009.1,6,26.8
"2015-10-24",3.2,18,0,12.2,"SW",48,15,25,1022.8,2,16.3
"2015-08-01",-2.8,14.1,0,6.8,"SW",48,26,38,1012.9,7,12.8
"2014-12-11",11.8,18.5,0.6,2.3,"ES",35,15,63,1017.4,6,16.4
"2015-01-12",20.9,35.7,0,6.9,"SW",50,17,28,1003,2,34
"2015-06-05",10.6,15.1,3.8,2.6,"SW",41,20,65,1025.7,7,13.3
"2015-06-02",0.6,14,0,2.7,"NW",17,7,67,1028.9,7,13.9
"2015-05-07",7.5,16.8,0,3,"NW",41,26,53,1013.8,7,15.4
"2015-10-10",0.5,20,0,11.5,"NW",31,9,22,1024.2,1,18.8
"2015-02-08",12.4,19.9,16.2,5.6,"ES",41,20,58,1005,7,18.7
"2015-09-16",8.7,19.7,1.6,8,"NW",98,52,33,1001.5,6,18.5
"2015-05-08",8.3,17.6,0,9.4,"SW",43,30,43,1013.5,1,16.5
"2014-12-04",13.3,26.5,6.6,11.8,"NW",50,26,40,1006.3,2,25.1
"2015-08-15",2.1,10.7,0,9.4,"NW",59,39,45,1018.2,1,9.5
"2015-03-01",7.7,18.4,10.4,12,"SW",48,17,34,1014.5,1,16.8
"2015-02-21",16.3,24.8,1.8,3.8,"SW",50,7,56,1008.4,7,24
"2014-12-07",17.2,25.8,0,8.8,"SW",41,6,74,1011.5,7,22.6
"2015-01-17",15.2,25.1,4.8,11.6,"ES",46,28,42,1015,1,23.9
"2014-11-06",6.2,16.9,0,8.2,"SW",44,24,57,1021.7,5,14.8
"2015-04-06",3.2,21.4,0,10.6,"ES",26,7,27,1022.3,1,20.5
"2015-03-11",12.5,31.7,0,11.2,"SW",24,9,28,1020.4,1,30.1
"2015-03-27",12.6,20.2,19.8,9.1,"SW",46,20,50,1008.4,4,17.4
"2015-10-04",16.8,28.9,0,10.8,"NW",70,41,22,1011.8,1,28.4
"2015-05-12",8.3,17.4,0,1.6,"ES",20,11,52,1021.5,7,17.2
"2015-08-19",-3.4,12.5,0,6.8,"SW",48,30,30,1021.8,7,11.2
"2015-09-18",0.7,14.1,0,9,"ES",20,7,43,1022.1,1,13.7
"2014-12-15",10.1,29.9,0,8.8,"ES",41,13,36,1010.2,8,29.1
"2015-06-15",1,11.8,0,7.2,"SW",48,24,49,1025.6,1,11
"2015-04-02",3.5,21.8,0,10.3,"NW",22,11,34,1021.2,1,21.2
"2015-03-21",11.5,29.3,0,8,"NW",46,26,35,1009.4,7,27.6
"2014-12-05",14.5,21.8,0,9.8,"ES",43,30,63,1015.3,1,20.5
"2015-07-03",6.6,13.1,0.2,8.2,"SW",61,30,53,1014,1,12.3
"2015-10-16",9.2,19.6,0.6,10.4,"ES",31,7,42,1019.7,4,18.4
"2015-09-13",-0.5,21.6,0,9.9,"NW",48,26,27,1010.9,5,21.5
"2015-03-14",13.2,33.1,0,9.7,"ES",39,7,18,1017.7,1,31.7
"2015-01-16",17.9,33.2,0,8.4,"NW",59,20,62,1006.1,7,23.5
"2015-10-18",5,24.1,0,12,"NW",52,26,34,1020.7,1,21.9
"2014-12-01",15.1,20.4,22.6,0.2,"SW",41,20,90,1014.1,8,16.3
"2015-08-14",2.3,12.2,0,9.8,"SW",44,30,41,1022.4,1,10.4
"2015-09-08",-0.9,16.7,0,8.6,"NW",35,22,33,1013.9,7,15.5
"2015-08-27",-1.5,17.3,0,9,"NW",48,26,23,1020.3,7,15.8
"2015-02-25",11.5,25.9,0,10.2,"ES",44,7,35,1014.3,2,24.3
"2015-10-13",4.5,23.9,0,11.7,"NW",30,11,27,1021.5,4,22.3
"2015-01-15",15.4,33.8,0,11.1,"SW",35,15,26,1009,1,31.7
"2015-01-27",13.2,31.3,0,11.6,"SW",46,26,28,1009.5,4,30.7
"2015-01-14",16,22.8,0,6,"ES",50,19,57,1012.3,6,21.6
"2014-12-14",8.9,27.1,0,12.7,"ES",35,11,37,1012.5,2,25
"2015-10-25",0.9,20.7,0,8.4,"NW",39,17,29,1018.4,8,19.1
"2015-06-16",2.1,14.7,0,8.2,"SW",43,26,57,1026.3,2,13.8
"2015-03-22",13,14.8,0,0,"SW",30,17,62,1019.3,8,13.9
"2015-02-18",10.8,25.8,0,11.7,"ES",31,11,42,1017.4,4,24.1
"2015-06-23",4.2,14,0,7.6,"NW",33,9,44,1025.7,4,12.5
"2015-02-02",14.9,28.8,0,8.1,"NW",30,11,44,1014.5,2,27
"2014-11-07",6.1,18.2,0.2,8.4,"SW",43,26,47,1022.2,6,17.3
"2015-03-08",10.8,29.2,0,7.5,"ES",50,9,34,1017.7,7,27.7
"2015-05-29",1.4,16.8,0,8.2,"NW",20,6,50,1024.7,4,16.3
"2014-12-23",9.2,20.4,17.4,10.2,"ES",39,20,49,1009.1,7,18.8
"2015-04-17",6.3,19.3,0,10.6,"SW",31,13,39,1024.4,1,18.8
"2014-12-03",16.6,24.2,0.2,4.7,"NW",50,35,60,1004.6,7,19.9
"2014-12-18",7.5,20.9,0,8.7,"ES",39,20,43,1018.3,7,19.8
"2015-06-19",0.4,15.5,0,4.7,"NW",13,9,70,1023.5,7,15
"2015-08-29",-0.1,14.7,0,9.9,"ES",30,15,43,1025.9,5,12.3
"2014-12-10",14.9,24.8,0,10,"NW",35,6,37,1010.4,7,22.9
"2015-04-20",8.4,16.1,0,4.9,"SW",35,22,51,1027.4,7,15.2
"2014-12-25",11.3,21.7,3.4,5.6,"ES",41,11,52,1019.1,3,21
"2015-06-11",8.6,13.7,6.2,0,"NW",31,0,94,1024.3,8,11.6
"2015-08-30",-0.2,16.2,0,5.9,"ES",28,20,45,1022.9,6,14.6
"2015-07-18",-1.8,11.5,0,4.7,"NW",41,24,55,1013.9,3,11
"2015-01-13",17,33.8,2,13.5,"SW",52,24,35,1001.8,3,31.8
"2015-06-21",8.4,11.7,4.8,0,"SW",26,7,86,1019.2,7,11.3
"2015-07-02",5.3,11.7,2,5.6,"NW",78,33,56,1012.3,1,11.1
"2015-07-04",-1.6,11.5,0,8.9,"NW",31,20,53,1021.9,1,11.1
"2015-06-27",6.3,11.8,0,6.5,"SW",63,28,48,1020.4,1,11.5
"2015-05-23",2.4,14.7,0,9.2,"ES",20,6,43,1026,1,13.8
"2015-01-29",17.9,33.9,0,11.8,"ES",46,11,22,1014.6,1,32.3
"2015-01-01",13.6,34.2,0,12.8,"NW",35,11,20,1011.6,6,31.8
"2015-10-06",10.3,21.3,3,6.7,"NW",43,19,46,1013.6,1,19.8
"2015-07-09",2.9,9.5,16.8,6.5,"NW",35,15,72,1019.6,6,7.4
"2015-03-24",12.8,24.9,0,6.2,"ES",30,7,44,1019.3,6,24.2
"2014-11-23",12.8,18.5,25.8,0.6,"ES",28,13,79,1014.9,8,16.8
"2015-10-08",0.3,16,8.2,11.8,"NW",57,28,45,1013.3,1,14.6
"2015-08-18",-1.3,11.6,0,10.4,"NW",30,17,35,1022,1,10.8
"2015-02-16",11.2,26.1,0,12.6,"ES",39,19,40,1020,1,24.7
"2015-06-28",3.5,14.3,0,8.9,"NW",35,24,51,1025,1,12.7
"2014-11-17",13.8,31.2,0,8.4,"ES",44,19,23,1009.8,6,29.8
"2014-11-01",8,24.3,0,6.3,"NW",30,20,29,1015,7,23.6
"2015-08-10",-2.9,9.6,0,7.3,"NW",43,24,70,1019,6,8.1
"2015-03-31",4.2,18.9,0,10.8,"SW",50,31,34,1009.3,2,18.1
"2015-06-26",4.3,12.6,0,9,"NW",46,28,54,1021.9,1,11.3
"2014-12-22",19.9,22,11,5.9,"NW",76,30,62,996.8,3,19.6
"2014-12-06",16.3,26.8,0,6.3,"ES",39,9,54,1016.1,7,24.5
"2015-09-10",-3.7,14.7,0,10.9,"SW",43,22,25,1020.9,0,13.4
"2015-01-26",12.7,28.8,0,9,"NW",28,7,28,1012.4,5,28.3
"2015-07-07",-0.6,14,0,7.1,"NW",41,22,59,1026.3,5,13.6
"2015-04-24",7.5,19,0,6.8,"ES",26,7,43,1022.2,5,18.1
"2015-07-20",2.4,11.6,1.2,8.1,"NW",35,22,48,1014.9,3,10.7
"2015-07-16",-1.7,13.6,0,5.2,"NW",28,17,46,1020.1,7,13.3
"2015-02-17",12.1,24.1,0,10.2,"ES",46,13,46,1021.4,1,22.5
"2015-04-28",7.9,18.7,0,5.8,"NW",59,31,51,997.7,6,16.6
"2015-05-02",3.8,13.8,0,0.8,"SW",31,26,54,1018.5,7,12.4
"2014-11-04",13.3,15.5,39.8,9.1,"NW",54,24,56,1007,7,14.1
"2015-04-14",7.1,19.8,2,7.7,"SW",39,15,56,1013.8,2,19.1
"2015-02-09",10.4,20.9,0,8.9,"SW",33,17,51,1006.8,6,18.7
